rung,conc_MBmL,classical_PI,classical_PI_lo,classical_PI_hi,deepulm_PI,deepulm_PI_lo,deepulm_PI_hi,lista_PI,lista_PI_lo,lista_PI_hi,bmode_PI_NLC,bmode_PI_NLC_lo,bmode_PI_NLC_hi,classical_fund,classical_fund_lo,classical_fund_hi,deepulm_fund,deepulm_fund_lo,deepulm_fund_hi,lista_fund,lista_fund_lo,lista_fund_hi,bmode_svd_fund,bmode_svd_fund_lo,bmode_svd_fund_hi
L1,250000,9.35039,3.17571,11.8483,15.7575,3.11754,22.5847,20.9219,3.56604,31.4908,1206.84,318.666,1630.1,20.924,7.96641,27.2468,57.8597,15.0924,78.1645,94.5429,25.547,133.729,2926.27,912.252,3707.3
L2,310000,12.4615,5.86802,13.6401,19.4935,4.70573,21.471,24.9657,5.49313,28.1818,1503.55,687.284,1738.34,36.8018,11.9483,42.5342,106.917,18.3709,125.457,176.055,27.556,207.385,4316.47,1378.47,4956.2
L3,390000,15.2413,6.03367,16.2883,25.5307,9.57547,28.3575,35.1277,12.8857,40.1596,1778.79,762.103,2021.63,43.5733,13.6202,48.3435,158.164,35.6704,206.733,276.635,57.6076,365.414,5620.98,1701.81,6161.54
L4,480000,14.258,5.74503,15.473,23.9264,4.89697,26.2514,33.1185,5.63417,36.6132,1673.39,673.539,1932.08,33.7622,11.6862,37.8135,106.794,15.0685,125.403,174.656,24.2028,206.717,4137.07,1317.22,4737.03
L5,600000,22.1356,14.3395,24.3903,43.5648,24.1183,49.5896,60.7083,32.9525,70.0139,2731.36,1579.75,3267.98,54.2506,34.7529,60.3422,202.807,108.856,243.328,333.486,179.21,396.167,6595.69,3898.13,7343.87
M1,700000,23.2306,9.0904,23.4071,55.3396,12.0247,53.8176,80.8615,14.8873,79.2605,2593.26,1134.79,2746.15,55.9604,21.1686,55.563,249.225,42.7952,237.196,430.811,63.6814,406.591,7197.27,2467.87,7362.04
M2,1.15e+06,39.1802,18.7916,39.5328,100.385,35.9027,105.604,146.569,50.7145,154.786,4413.53,2178.51,4556.9,83.0384,38.7641,83.6135,357.721,119.368,373.289,608.939,191.243,636.182,10467.9,4694.31,10726.8
M3,1.9e+06,11.4754,4.07648,12.3925,17.5053,4.97279,18.6659,23.0541,6.51251,25.0144,1480.41,410.965,1742.07,22.1781,8.59215,23.6409,49.3164,21.358,50.845,78.1541,35.3919,79.5481,2854.97,1117.56,3100.19
M4,3e+06,46.0185,26.6817,47.925,158.168,60.5562,170.916,242.329,92.6079,260.879,5868.19,2956.45,6301.74,74.4981,44.5398,77.0806,366.314,136.958,392.516,637.132,233.286,681.375,10280,5405.47,10885.7
M5,5e+06,94.1831,50.7522,101.521,436.559,178.797,521.223,740.266,276.371,895.113,16265.6,6019.32,17752,148.595,83.5057,158.207,798.907,363.075,949.266,1589.37,642.095,1920.94,34378.6,11745.3,38584.2
U1,6.5e+06,107.532,93.2621,114.252,590.328,384.619,638.775,1066.4,636.31,1180.21,17604,15680.1,22551.2,162.336,148.397,170.589,1037.69,566.158,1152.99,2129.52,1075.83,2423.21,37147.7,30500.9,42213.2
U2,9.5e+06,120.373,85.1237,125.406,694.646,392.48,709.103,1304.98,661.286,1341.85,21377.4,14254.7,22865.2,184.967,131.489,192.678,1248.08,630.561,1287.82,2668.98,1181.78,2776.13,52806.8,25012.3,56302.7
U3,1.4e+07,136.74,117.109,141.156,768.274,598.694,782.379,1488.31,1096.3,1517.91,31544.3,24687.1,32606.6,203.291,178.984,208.012,1191.5,938.607,1221.22,2536.8,1913.33,2608.37,76450.2,58686.8,79974.8
U4,2.81e+07,151.593,122.504,157.08,896.678,715.972,930.434,1825.06,1405.22,1897.69,39432.5,26880,41728.5,221.369,193.685,229.392,1577.65,1297.98,1629.82,3486.85,2795.43,3624.86,94907.4,59590.4,104388
U5,3.68e+07,150.2,141.801,151.442,884.091,775.032,915.937,1807.18,1595.81,1872.97,42235.9,38993.9,51776.4,232.326,225.287,248.916,1619.24,1331.66,1708.75,3553.75,2933.55,3746.04,111531,94871.5,174138
